time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-02 00:00:00+00:00,10,4,,
2025-05-03 00:00:00+00:00,4,3,1.0,1.0
2025-05-04 00:00:00+00:00,2,2,1.0,1.0
2025-05-05 00:00:00+00:00,2,2,3.0,1.0
2025-05-06 00:00:00+00:00,22,4,,
2025-05-07 00:00:00+00:00,12,5,,
2025-05-08 00:00:00+00:00,16,5,6.0,1.0
2025-05-09 00:00:00+00:00,39,7,22.0,1.0
2025-05-10 00:00:00+00:00,13,7,12.0,1.0
2025-05-11 00:00:00+00:00,5,3,3.0,1.0
2025-05-12 00:00:00+00:00,9,3,,
2025-05-13 00:00:00+00:00,19,8,4.0,2.0
2025-05-14 00:00:00+00:00,11,3,,
2025-05-15 00:00:00+00:00,11,4,5.0,1.0
2025-05-16 00:00:00+00:00,1,1,,
