time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-07 00:00:00+00:00,12,7,0,0
2026-02-08 00:00:00+00:00,15,8,0,0
2026-02-09 00:00:00+00:00,22,9,0,0
2026-02-10 00:00:00+00:00,57,16,1,1
2026-02-11 00:00:00+00:00,9,7,0,0
2026-02-12 00:00:00+00:00,43,12,0,0
2026-02-13 00:00:00+00:00,35,13,0,0
2026-02-14 00:00:00+00:00,17,8,0,0
2026-02-15 00:00:00+00:00,9,8,0,0
2026-02-16 00:00:00+00:00,9,7,0,0
2026-02-17 00:00:00+00:00,35,9,0,0
2026-02-18 00:00:00+00:00,34,13,0,0
2026-02-19 00:00:00+00:00,15,8,0,0
2026-02-20 00:00:00+00:00,14,9,0,0
