time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-04 00:00:00+00:00,7,4,0,0
2026-03-05 00:00:00+00:00,26,10,0,0
2026-03-06 00:00:00+00:00,47,14,0,0
2026-03-07 00:00:00+00:00,12,6,0,0
2026-03-08 00:00:00+00:00,16,6,0,0
2026-03-09 00:00:00+00:00,27,9,0,0
2026-03-10 00:00:00+00:00,10,5,0,0
2026-03-11 00:00:00+00:00,31,9,0,0
2026-03-12 00:00:00+00:00,19,8,0,0
2026-03-13 00:00:00+00:00,47,13,0,0
2026-03-14 00:00:00+00:00,13,7,0,0
2026-03-15 00:00:00+00:00,5,3,1,1
2026-03-16 00:00:00+00:00,38,13,1,1
2026-03-17 00:00:00+00:00,15,6,0,0
