time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-12 00:00:00+00:00,37,11,1.0,1.0
2025-12-13 00:00:00+00:00,28,11,,
2025-12-14 00:00:00+00:00,34,11,,
2025-12-15 00:00:00+00:00,10,5,,
2025-12-16 00:00:00+00:00,5,5,,
2025-12-17 00:00:00+00:00,23,10,,
2025-12-18 00:00:00+00:00,12,10,,
2025-12-19 00:00:00+00:00,14,10,,
2025-12-20 00:00:00+00:00,9,5,2.0,2.0
2025-12-21 00:00:00+00:00,10,5,,
2025-12-22 00:00:00+00:00,27,11,,
2025-12-23 00:00:00+00:00,22,8,,
2025-12-24 00:00:00+00:00,10,6,,
2025-12-25 00:00:00+00:00,1,1,,
