time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-22 00:00:00+00:00,14,5,7.0,2.0
2025-10-23 00:00:00+00:00,11,4,3.0,1.0
2025-10-24 00:00:00+00:00,18,8,,
2025-10-25 00:00:00+00:00,13,5,,
2025-10-26 00:00:00+00:00,10,7,2.0,1.0
2025-10-27 00:00:00+00:00,8,3,,
2025-10-28 00:00:00+00:00,21,6,,
2025-10-29 00:00:00+00:00,2,2,,
2025-10-30 00:00:00+00:00,26,6,,
2025-10-31 00:00:00+00:00,4,3,,
2025-11-01 00:00:00+00:00,10,5,,
2025-11-02 00:00:00+00:00,8,3,,
2025-11-03 00:00:00+00:00,31,7,,
2025-11-04 00:00:00+00:00,24,8,,
2025-11-05 00:00:00+00:00,1,1,,
